[Hz],FFT[dBm]
0.000000E+00,-5.12654E+01
3.051758E+01,-5.41054E+01
6.103516E+01,-8.45054E+01
9.155273E+01,-9.16254E+01
1.220703E+02,-9.69854E+01
1.525879E+02,-8.96254E+01
1.831055E+02,-8.75654E+01
2.136230E+02,-9.32654E+01
2.441406E+02,-9.34054E+01
2.746582E+02,-8.70054E+01
3.051758E+02,-8.73454E+01
3.356934E+02,-9.26454E+01
3.662109E+02,-9.83454E+01
3.967285E+02,-8.76054E+01
4.272461E+02,-8.20254E+01
4.577637E+02,-8.39054E+01
4.882812E+02,-8.00054E+01
5.187988E+02,-8.40254E+01
5.493164E+02,-8.79054E+01
5.798340E+02,-9.27054E+01
6.103516E+02,-8.59854E+01
6.408691E+02,-8.71054E+01
6.713867E+02,-9.17854E+01
7.019043E+02,-9.02654E+01
7.324219E+02,-8.36654E+01
7.629395E+02,-8.15654E+01
7.934570E+02,-8.69854E+01
8.239746E+02,-7.66654E+01
8.544922E+02,-7.51654E+01
8.850098E+02,-7.97454E+01
9.155273E+02,-8.53254E+01
9.460449E+02,-8.26054E+01
9.765625E+02,-7.74054E+01
1.007080E+03,-8.02654E+01
1.037598E+03,-8.04654E+01
1.068115E+03,-7.49054E+01
1.098633E+03,-6.96254E+01
1.129150E+03,-7.76854E+01
1.159668E+03,-9.16054E+01
1.190186E+03,-7.79254E+01
1.220703E+03,-6.95054E+01
1.251221E+03,-7.23454E+01
1.281738E+03,-8.49854E+01
1.312256E+03,-8.81054E+01
1.342773E+03,-7.92254E+01
1.373291E+03,-7.72254E+01
1.403809E+03,-7.99654E+01
1.434326E+03,-7.80454E+01
1.464844E+03,-8.33254E+01
1.495361E+03,-8.81054E+01
1.525879E+03,-8.16654E+01
1.556396E+03,-8.22854E+01
1.586914E+03,-8.41854E+01
1.617432E+03,-8.29454E+01
1.647949E+03,-9.45254E+01
1.678467E+03,-9.39254E+01
1.708984E+03,-9.94054E+01
1.739502E+03,-9.15854E+01
1.770020E+03,-8.68054E+01
1.800537E+03,-8.31854E+01
1.831055E+03,-8.36054E+01
1.861572E+03,-8.35254E+01
1.892090E+03,-8.31254E+01
1.922607E+03,-8.07854E+01
1.953125E+03,-7.82654E+01
1.983643E+03,-8.38854E+01
2.014160E+03,-8.43054E+01
2.044678E+03,-9.10054E+01
2.075195E+03,-7.97454E+01
2.105713E+03,-7.84254E+01
2.136230E+03,-8.45854E+01
2.166748E+03,-8.72854E+01
2.197266E+03,-9.01854E+01
2.227783E+03,-1.03965E+02
2.258301E+03,-9.56454E+01
2.288818E+03,-9.20254E+01
2.319336E+03,-8.74254E+01
2.349854E+03,-8.51254E+01
2.380371E+03,-8.29054E+01
2.410889E+03,-8.40654E+01
2.441406E+03,-8.24054E+01
2.471924E+03,-8.44454E+01
2.502441E+03,-9.00454E+01
2.532959E+03,-8.27054E+01
2.563477E+03,-8.78254E+01
2.593994E+03,-9.03454E+01
2.624512E+03,-8.69054E+01
2.655029E+03,-8.30054E+01
2.685547E+03,-8.64854E+01
2.716064E+03,-8.47454E+01
2.746582E+03,-8.66454E+01
