[s],CH1[V]
-1.196E-07,-4.301E-01
-1.192E-07,-4.301E-01
-1.188E-07,-4.101E-01
-1.184E-07,-4.101E-01
-1.180E-07,-3.901E-01
-1.176E-07,-3.901E-01
-1.172E-07,-3.901E-01
-1.168E-07,-3.901E-01
-1.164E-07,-3.901E-01
-1.160E-07,-3.901E-01
-1.156E-07,-3.901E-01
-1.152E-07,-3.901E-01
-1.148E-07,-3.701E-01
-1.144E-07,-3.701E-01
-1.140E-07,-3.501E-01
-1.136E-07,-3.501E-01
-1.132E-07,-3.501E-01
-1.128E-07,-3.301E-01
-1.124E-07,-3.301E-01
-1.120E-07,-3.101E-01
-1.116E-07,-3.101E-01
-1.112E-07,-3.101E-01
-1.108E-07,-3.101E-01
-1.104E-07,-3.101E-01
-1.100E-07,-2.901E-01
-1.096E-07,-2.701E-01
-1.092E-07,-2.501E-01
-1.088E-07,-2.501E-01
-1.084E-07,-2.501E-01
-1.080E-07,-2.501E-01
-1.076E-07,-2.301E-01
-1.072E-07,-2.101E-01
-1.068E-07,-2.101E-01
-1.064E-07,-1.901E-01
-1.060E-07,-1.701E-01
-1.056E-07,-1.701E-01
-1.052E-07,-1.701E-01
-1.048E-07,-1.501E-01
-1.044E-07,-1.501E-01
-1.040E-07,-1.301E-01
-1.036E-07,-1.301E-01
-1.032E-07,-1.301E-01
-1.028E-07,-1.101E-01
-1.024E-07,-9.006E-02
-1.020E-07,-9.006E-02
-1.016E-07,-7.006E-02
-1.012E-07,-7.006E-02
-1.008E-07,-5.006E-02
-1.004E-07,-5.006E-02
-1.000E-07,-3.006E-02
-9.960E-08,-3.006E-02
-9.920E-08,-3.006E-02
-9.880E-08,-1.006E-02
-9.840E-08,9.938E-03
-9.800E-08,9.938E-03
-9.760E-08,2.994E-02
-9.720E-08,4.994E-02
-9.680E-08,6.994E-02
-9.640E-08,6.994E-02
-9.600E-08,6.994E-02
-9.560E-08,8.994E-02
-9.520E-08,1.099E-01
-9.480E-08,1.299E-01
-9.440E-08,1.299E-01
-9.400E-08,1.099E-01
-9.360E-08,1.099E-01
-9.320E-08,1.099E-01
-9.280E-08,1.299E-01
-9.240E-08,1.699E-01
-9.200E-08,1.899E-01
-9.160E-08,1.899E-01
-9.120E-08,1.899E-01
-9.080E-08,2.099E-01
-9.040E-08,2.099E-01
-9.000E-08,2.299E-01
-8.960E-08,2.299E-01
-8.920E-08,2.299E-01
-8.880E-08,2.499E-01
-8.840E-08,2.499E-01
-8.800E-08,2.499E-01
-8.760E-08,2.499E-01
-8.720E-08,2.499E-01
