[s],CH1[V]
-2.8994E-05,-1.926E-02
-2.8994E-05,-1.526E-02
-2.8988E-05,-1.926E-02
-2.8988E-05,-1.526E-02
-2.8982E-05,-1.926E-02
-2.8982E-05,-1.526E-02
-2.8976E-05,-1.926E-02
-2.8976E-05,-1.526E-02
-2.8970E-05,-1.926E-02
-2.8970E-05,-1.526E-02
-2.8964E-05,-1.926E-02
-2.8964E-05,-1.526E-02
-2.8958E-05,-1.926E-02
-2.8958E-05,-1.526E-02
-2.8952E-05,-1.526E-02
-2.8952E-05,-1.526E-02
-2.8946E-05,-1.526E-02
-2.8946E-05,-1.526E-02
-2.8940E-05,-1.926E-02
-2.8940E-05,-1.126E-02
-2.8934E-05,-1.926E-02
-2.8934E-05,-1.526E-02
-2.8928E-05,-1.526E-02
-2.8928E-05,-1.526E-02
-2.8922E-05,-1.526E-02
-2.8922E-05,-1.526E-02
-2.8916E-05,-1.526E-02
-2.8916E-05,-1.126E-02
-2.8910E-05,-1.526E-02
-2.8910E-05,-1.126E-02
-2.8904E-05,-1.526E-02
-2.8904E-05,-1.126E-02
-2.8898E-05,-1.526E-02
-2.8898E-05,-1.126E-02
-2.8892E-05,-1.526E-02
-2.8892E-05,-1.126E-02
-2.8886E-05,-1.526E-02
-2.8886E-05,-1.126E-02
-2.8880E-05,-1.526E-02
-2.8880E-05,-1.126E-02
-2.8874E-05,-1.526E-02
-2.8874E-05,-1.126E-02
-2.8868E-05,-1.526E-02
-2.8868E-05,-7.263E-03
-2.8862E-05,-1.126E-02
-2.8862E-05,-7.263E-03
-2.8856E-05,-1.126E-02
-2.8856E-05,-7.263E-03
-2.8850E-05,-1.126E-02
-2.8850E-05,-7.263E-03
-2.8844E-05,-1.126E-02
-2.8844E-05,-7.263E-03
-2.8838E-05,-1.126E-02
-2.8838E-05,-7.263E-03
-2.8832E-05,-1.126E-02
-2.8832E-05,-7.263E-03
-2.8826E-05,-1.126E-02
-2.8826E-05,-7.263E-03
-2.8820E-05,-7.263E-03
-2.8820E-05,-7.263E-03
-2.8814E-05,-7.263E-03
-2.8814E-05,-3.263E-03
-2.8808E-05,-7.263E-03
-2.8808E-05,-3.263E-03
-2.8802E-05,-7.263E-03
-2.8802E-05,-3.263E-03
-2.8796E-05,-7.263E-03
-2.8796E-05,-3.263E-03
-2.8790E-05,-7.263E-03
-2.8790E-05,-3.263E-03
-2.8784E-05,-7.263E-03
-2.8784E-05,-3.263E-03
-2.8778E-05,-7.263E-03
-2.8778E-05,-3.263E-03
-2.8772E-05,-3.263E-03
-2.8772E-05,-3.263E-03
-2.8766E-05,-3.263E-03
