[s],CH1[V]
-2.9994E-05,-5.058E-02
-2.9994E-05,-5.058E-02
-2.9988E-05,-5.058E-02
-2.9988E-05,-4.658E-02
-2.9982E-05,-5.058E-02
-2.9982E-05,-4.658E-02
-2.9976E-05,-5.058E-02
-2.9976E-05,-4.658E-02
-2.9970E-05,-5.058E-02
-2.9970E-05,-4.658E-02
-2.9964E-05,-4.658E-02
-2.9964E-05,-4.258E-02
-2.9958E-05,-4.658E-02
-2.9958E-05,-4.258E-02
-2.9952E-05,-4.658E-02
-2.9952E-05,-4.258E-02
-2.9946E-05,-4.258E-02
-2.9946E-05,-4.258E-02
-2.9940E-05,-4.658E-02
-2.9940E-05,-4.258E-02
-2.9934E-05,-4.658E-02
-2.9934E-05,-3.858E-02
-2.9928E-05,-4.258E-02
-2.9928E-05,-3.858E-02
-2.9922E-05,-3.858E-02
-2.9922E-05,-3.458E-02
-2.9916E-05,-3.858E-02
-2.9916E-05,-3.458E-02
-2.9910E-05,-3.858E-02
-2.9910E-05,-3.458E-02
-2.9904E-05,-3.858E-02
-2.9904E-05,-3.458E-02
-2.9898E-05,-3.458E-02
-2.9898E-05,-3.058E-02
-2.9892E-05,-3.458E-02
-2.9892E-05,-3.058E-02
-2.9886E-05,-3.458E-02
-2.9886E-05,-3.058E-02
-2.9880E-05,-3.458E-02
-2.9880E-05,-3.058E-02
-2.9874E-05,-3.458E-02
-2.9874E-05,-3.058E-02
-2.9868E-05,-3.058E-02
-2.9868E-05,-2.658E-02
-2.9862E-05,-3.058E-02
-2.9862E-05,-2.658E-02
-2.9856E-05,-2.658E-02
-2.9856E-05,-2.258E-02
-2.9850E-05,-2.658E-02
-2.9850E-05,-2.258E-02
-2.9844E-05,-3.058E-02
-2.9844E-05,-2.258E-02
-2.9838E-05,-2.658E-02
-2.9838E-05,-2.258E-02
-2.9832E-05,-2.658E-02
-2.9832E-05,-1.858E-02
-2.9826E-05,-2.258E-02
-2.9826E-05,-1.858E-02
-2.9820E-05,-2.258E-02
-2.9820E-05,-1.858E-02
-2.9814E-05,-2.258E-02
-2.9814E-05,-1.858E-02
-2.9808E-05,-2.258E-02
-2.9808E-05,-1.858E-02
-2.9802E-05,-1.858E-02
-2.9802E-05,-1.458E-02
-2.9796E-05,-1.458E-02
-2.9796E-05,-1.458E-02
-2.9790E-05,-1.458E-02
-2.9790E-05,-1.458E-02
-2.9784E-05,-1.858E-02
-2.9784E-05,-1.058E-02
-2.9778E-05,-1.858E-02
-2.9778E-05,-1.458E-02
-2.9772E-05,-1.458E-02
-2.9772E-05,-6.579E-03
-2.9766E-05,-1.058E-02
-2.9766E-05,-6.579E-03
-2.9760E-05,-1.058E-02
-2.9760E-05,-6.579E-03
-2.9754E-05,-1.058E-02
-2.9754E-05,-2.579E-03
-2.9748E-05,-1.058E-02
-2.9748E-05,-6.579E-03
-2.9742E-05,-1.058E-02
-2.9742E-05,-6.579E-03
-2.9736E-05,-6.579E-03
-2.9736E-05,-2.579E-03
-2.9730E-05,-6.579E-03
-2.9730E-05,-2.579E-03
-2.9724E-05,-6.579E-03
-2.9724E-05,-2.579E-03
-2.9718E-05,-6.579E-03
-2.9718E-05,-2.579E-03
-2.9712E-05,-2.579E-03
-2.9712E-05,1.421E-03
-2.9706E-05,1.421E-03
-2.9706E-05,1.421E-03
-2.9700E-05,-2.579E-03
-2.9700E-05,1.421E-03
-2.9694E-05,1.421E-03
-2.9694E-05,5.421E-03
-2.9688E-05,1.421E-03
-2.9688E-05,5.421E-03
-2.9682E-05,1.421E-03
-2.9682E-05,5.421E-03
-2.9676E-05,5.421E-03
-2.9676E-05,9.421E-03
-2.9670E-05,5.421E-03
-2.9670E-05,9.421E-03
-2.9664E-05,5.421E-03
-2.9664E-05,9.421E-03
-2.9658E-05,5.421E-03
-2.9658E-05,1.342E-02
-2.9652E-05,5.421E-03
-2.9652E-05,9.421E-03
-2.9646E-05,9.421E-03
-2.9646E-05,1.342E-02
-2.9640E-05,1.342E-02
-2.9640E-05,1.342E-02
-2.9634E-05,1.342E-02
-2.9634E-05,1.742E-02
-2.9628E-05,1.742E-02
-2.9628E-05,2.142E-02
-2.9622E-05,1.342E-02
-2.9622E-05,2.142E-02
-2.9616E-05,1.342E-02
-2.9616E-05,1.742E-02
-2.9610E-05,1.742E-02
-2.9610E-05,2.142E-02
-2.9604E-05,1.742E-02
-2.9604E-05,2.542E-02
-2.9598E-05,1.742E-02
-2.9598E-05,2.542E-02
-2.9592E-05,1.742E-02
-2.9592E-05,2.142E-02
-2.9586E-05,1.742E-02
-2.9586E-05,2.142E-02
-2.9580E-05,2.142E-02
-2.9580E-05,2.542E-02
-2.9574E-05,2.142E-02
-2.9574E-05,2.542E-02
-2.9568E-05,2.542E-02
-2.9568E-05,2.942E-02
-2.9562E-05,2.542E-02
-2.9562E-05,2.942E-02
-2.9556E-05,2.542E-02
-2.9556E-05,2.542E-02
-2.9550E-05,2.542E-02
-2.9550E-05,2.942E-02
-2.9544E-05,2.542E-02
-2.9544E-05,3.342E-02
-2.9538E-05,2.942E-02
-2.9538E-05,3.342E-02
-2.9532E-05,2.942E-02
-2.9532E-05,3.342E-02
-2.9526E-05,2.942E-02
-2.9526E-05,3.342E-02
-2.9520E-05,2.942E-02
-2.9520E-05,3.342E-02
-2.9514E-05,3.342E-02
-2.9514E-05,3.742E-02
-2.9508E-05,3.342E-02
-2.9508E-05,3.742E-02
-2.9502E-05,3.742E-02
-2.9502E-05,3.742E-02
-2.9496E-05,3.742E-02
-2.9496E-05,4.142E-02
-2.9490E-05,3.742E-02
