[s],CH1[V]
-1.7758E-01,-5.126E-02
-1.7758E-01,5.274E-02
-1.7756E-01,-5.126E-02
-1.7756E-01,5.274E-02
-1.7754E-01,-5.126E-02
-1.7754E-01,5.274E-02
-1.7752E-01,-5.126E-02
-1.7752E-01,5.274E-02
-1.7750E-01,-5.526E-02
-1.7750E-01,5.274E-02
-1.7748E-01,-5.126E-02
-1.7748E-01,5.274E-02
-1.7746E-01,-5.126E-02
-1.7746E-01,4.874E-02
-1.7744E-01,-5.126E-02
-1.7744E-01,5.274E-02
-1.7742E-01,-5.526E-02
-1.7742E-01,4.874E-02
-1.7740E-01,-5.126E-02
-1.7740E-01,5.274E-02
-1.7738E-01,-5.526E-02
-1.7738E-01,5.274E-02
-1.7736E-01,-5.526E-02
-1.7736E-01,5.274E-02
-1.7734E-01,-5.126E-02
-1.7734E-01,5.274E-02
-1.7732E-01,-5.126E-02
-1.7732E-01,5.274E-02
-1.7730E-01,-5.126E-02
-1.7730E-01,5.274E-02
-1.7728E-01,-5.526E-02
-1.7728E-01,5.274E-02
-1.7726E-01,-5.126E-02
-1.7726E-01,5.274E-02
-1.7724E-01,-5.526E-02
-1.7724E-01,5.274E-02
-1.7722E-01,-5.526E-02
-1.7722E-01,5.274E-02
-1.7720E-01,-5.126E-02
-1.7720E-01,5.274E-02
-1.7718E-01,-5.526E-02
-1.7718E-01,5.274E-02
-1.7716E-01,-5.126E-02
-1.7716E-01,5.274E-02
-1.7714E-01,-5.526E-02
-1.7714E-01,5.274E-02
-1.7712E-01,-5.126E-02
-1.7712E-01,5.274E-02
-1.7710E-01,-5.126E-02
-1.7710E-01,5.274E-02
-1.7708E-01,-5.126E-02
-1.7708E-01,5.274E-02
-1.7706E-01,-5.126E-02
-1.7706E-01,5.674E-02
-1.7704E-01,-5.126E-02
-1.7704E-01,5.274E-02
-1.7702E-01,-5.526E-02
-1.7702E-01,5.274E-02
-1.7700E-01,-5.126E-02
-1.7700E-01,5.274E-02
-1.7698E-01,-5.126E-02
-1.7698E-01,5.274E-02
-1.7696E-01,-5.526E-02
-1.7696E-01,5.274E-02
-1.7694E-01,-5.126E-02
-1.7694E-01,5.274E-02
-1.7692E-01,-5.126E-02
-1.7692E-01,5.274E-02
-1.7690E-01,-5.126E-02
-1.7690E-01,5.274E-02
-1.7688E-01,-5.526E-02
-1.7688E-01,5.274E-02
-1.7686E-01,-5.526E-02
-1.7686E-01,5.274E-02
-1.7684E-01,-5.126E-02
-1.7684E-01,5.274E-02
-1.7682E-01,-5.126E-02
-1.7682E-01,5.274E-02
-1.7680E-01,-5.526E-02
-1.7680E-01,5.274E-02
-1.7678E-01,-5.526E-02
-1.7678E-01,5.274E-02
-1.7676E-01,-5.126E-02
-1.7676E-01,5.274E-02
-1.7674E-01,-5.526E-02
-1.7674E-01,5.274E-02
-1.7672E-01,-5.126E-02
-1.7672E-01,5.674E-02
-1.7670E-01,-5.126E-02
-1.7670E-01,5.274E-02
-1.7668E-01,-5.526E-02
-1.7668E-01,5.274E-02
-1.7666E-01,-5.126E-02
-1.7666E-01,5.274E-02
-1.7664E-01,-5.126E-02
-1.7664E-01,5.274E-02
-1.7662E-01,-5.126E-02
-1.7662E-01,4.874E-02
-1.7660E-01,-5.126E-02
-1.7660E-01,5.274E-02
-1.7658E-01,-5.126E-02
-1.7658E-01,5.274E-02
-1.7656E-01,-5.126E-02
-1.7656E-01,5.274E-02
-1.7654E-01,-5.526E-02
-1.7654E-01,5.274E-02
-1.7652E-01,-5.126E-02
-1.7652E-01,4.874E-02
-1.7650E-01,-5.126E-02
-1.7650E-01,5.274E-02
-1.7648E-01,-5.526E-02
-1.7648E-01,5.274E-02
-1.7646E-01,-5.126E-02
-1.7646E-01,5.274E-02
-1.7644E-01,-5.126E-02
-1.7644E-01,5.274E-02
-1.7642E-01,-5.526E-02
-1.7642E-01,5.274E-02
-1.7640E-01,-5.126E-02
-1.7640E-01,5.274E-02
-1.7638E-01,-5.126E-02
-1.7638E-01,5.274E-02
-1.7636E-01,-5.526E-02
-1.7636E-01,5.274E-02
-1.7634E-01,-5.126E-02
-1.7634E-01,5.274E-02
-1.7632E-01,-5.126E-02
-1.7632E-01,5.274E-02
-1.7630E-01,-5.126E-02
-1.7630E-01,5.274E-02
-1.7628E-01,-5.526E-02
-1.7628E-01,5.274E-02
-1.7626E-01,-5.126E-02
-1.7626E-01,5.274E-02
-1.7624E-01,-5.126E-02
-1.7624E-01,4.874E-02
-1.7622E-01,-5.126E-02
-1.7622E-01,5.674E-02
-1.7620E-01,-5.126E-02
-1.7620E-01,5.274E-02
-1.7618E-01,-5.126E-02
-1.7618E-01,5.274E-02
-1.7616E-01,-5.126E-02
-1.7616E-01,5.274E-02
-1.7614E-01,-5.126E-02
-1.7614E-01,5.274E-02
-1.7612E-01,-5.126E-02
-1.7612E-01,5.274E-02
-1.7610E-01,-5.126E-02
-1.7610E-01,5.674E-02
-1.7608E-01,-5.126E-02
-1.7608E-01,5.274E-02
-1.7606E-01,-5.126E-02
-1.7606E-01,4.874E-02
-1.7604E-01,-5.526E-02
-1.7604E-01,5.274E-02
-1.7602E-01,-5.126E-02
-1.7602E-01,5.274E-02
-1.7600E-01,-5.526E-02
-1.7600E-01,5.274E-02
-1.7598E-01,-5.126E-02
-1.7598E-01,5.274E-02
-1.7596E-01,-5.126E-02
-1.7596E-01,5.274E-02
-1.7594E-01,-5.126E-02
-1.7594E-01,5.274E-02
-1.7592E-01,-5.126E-02
-1.7592E-01,5.274E-02
-1.7590E-01,-5.126E-02
-1.7590E-01,5.274E-02
-1.7588E-01,-5.526E-02
-1.7588E-01,5.274E-02
-1.7586E-01,-5.126E-02
-1.7586E-01,5.674E-02
-1.7584E-01,-5.126E-02
-1.7584E-01,5.274E-02
-1.7582E-01,-5.526E-02
-1.7582E-01,5.274E-02
-1.7580E-01,-5.126E-02
-1.7580E-01,5.274E-02
-1.7578E-01,-5.526E-02
-1.7578E-01,5.274E-02
-1.7576E-01,-5.126E-02
-1.7576E-01,5.274E-02
-1.7574E-01,-5.126E-02
-1.7574E-01,5.274E-02
-1.7572E-01,-5.126E-02
-1.7572E-01,5.274E-02
-1.7570E-01,-5.526E-02
-1.7570E-01,5.274E-02
-1.7568E-01,-5.126E-02
-1.7568E-01,5.274E-02
-1.7566E-01,-5.126E-02
-1.7566E-01,5.274E-02
-1.7564E-01,-5.526E-02
-1.7564E-01,5.274E-02
-1.7562E-01,-5.526E-02
-1.7562E-01,5.674E-02
-1.7560E-01,-5.126E-02
-1.7560E-01,5.274E-02
-1.7558E-01,-5.126E-02
-1.7558E-01,5.274E-02
-1.7556E-01,-5.526E-02
-1.7556E-01,5.274E-02
-1.7554E-01,-5.126E-02
-1.7554E-01,5.274E-02
-1.7552E-01,-5.126E-02
-1.7552E-01,5.274E-02
-1.7550E-01,-5.126E-02
-1.7550E-01,5.274E-02
-1.7548E-01,-5.126E-02
-1.7548E-01,5.274E-02
-1.7546E-01,-5.126E-02
-1.7546E-01,5.274E-02
-1.7544E-01,-5.126E-02
-1.7544E-01,5.274E-02
-1.7542E-01,-5.126E-02
-1.7542E-01,5.274E-02
-1.7540E-01,-5.526E-02
-1.7540E-01,5.274E-02
-1.7538E-01,-5.126E-02
-1.7538E-01,5.274E-02
-1.7536E-01,-5.126E-02
-1.7536E-01,5.274E-02
-1.7534E-01,-5.126E-02
-1.7534E-01,5.674E-02
-1.7532E-01,-5.126E-02
-1.7532E-01,5.274E-02
-1.7530E-01,-5.526E-02
-1.7530E-01,5.274E-02
-1.7528E-01,-5.126E-02
-1.7528E-01,5.274E-02
-1.7526E-01,-5.126E-02
-1.7526E-01,5.274E-02
-1.7524E-01,-5.126E-02
-1.7524E-01,5.274E-02
-1.7522E-01,-5.126E-02
-1.7522E-01,5.274E-02
-1.7520E-01,-5.126E-02
-1.7520E-01,5.274E-02
-1.7518E-01,-5.126E-02
-1.7518E-01,5.274E-02
-1.7516E-01,-5.526E-02
-1.7516E-01,5.274E-02
-1.7514E-01,-5.526E-02
-1.7514E-01,5.274E-02
-1.7512E-01,-5.126E-02
-1.7512E-01,5.274E-02
-1.7510E-01,-5.126E-02
-1.7510E-01,5.274E-02
-1.7508E-01,-5.126E-02
-1.7508E-01,5.274E-02
-1.7506E-01,-5.126E-02
-1.7506E-01,5.274E-02
-1.7504E-01,-5.126E-02
-1.7504E-01,5.274E-02
-1.7502E-01,-5.526E-02
-1.7502E-01,5.274E-02
-1.7500E-01,-5.126E-02
-1.7500E-01,5.274E-02
-1.7498E-01,-5.526E-02
-1.7498E-01,5.274E-02
-1.7496E-01,-5.126E-02
-1.7496E-01,5.274E-02
-1.7494E-01,-5.526E-02
-1.7494E-01,5.274E-02
-1.7492E-01,-5.526E-02
-1.7492E-01,5.274E-02
-1.7490E-01,-5.526E-02
-1.7490E-01,5.274E-02
-1.7488E-01,-5.126E-02
-1.7488E-01,5.274E-02
-1.7486E-01,-5.126E-02
-1.7486E-01,5.274E-02
-1.7484E-01,-5.126E-02
-1.7484E-01,5.274E-02
-1.7482E-01,-5.526E-02
-1.7482E-01,5.274E-02
-1.7480E-01,-5.126E-02
-1.7480E-01,5.274E-02
-1.7478E-01,-5.126E-02
-1.7478E-01,5.274E-02
-1.7476E-01,-5.526E-02
-1.7476E-01,5.274E-02
-1.7474E-01,-5.126E-02
-1.7474E-01,5.274E-02
-1.7472E-01,-5.526E-02
-1.7472E-01,5.274E-02
-1.7470E-01,-5.126E-02
-1.7470E-01,5.274E-02
-1.7468E-01,-5.126E-02
-1.7468E-01,4.874E-02
-1.7466E-01,-5.526E-02
-1.7466E-01,5.274E-02
-1.7464E-01,-5.126E-02
-1.7464E-01,5.274E-02
-1.7462E-01,-5.126E-02
-1.7462E-01,5.274E-02
-1.7460E-01,-5.126E-02
-1.7460E-01,5.274E-02
-1.7458E-01,-5.126E-02
-1.7458E-01,5.274E-02
-1.7456E-01,-5.526E-02
-1.7456E-01,5.274E-02
-1.7454E-01,-5.526E-02
-1.7454E-01,5.274E-02
-1.7452E-01,-5.526E-02
-1.7452E-01,5.274E-02
-1.7450E-01,-5.526E-02
-1.7450E-01,5.674E-02
-1.7448E-01,-5.126E-02
-1.7448E-01,5.274E-02
-1.7446E-01,-5.126E-02
-1.7446E-01,5.274E-02
-1.7444E-01,-5.126E-02
-1.7444E-01,4.874E-02
-1.7442E-01,-5.126E-02
-1.7442E-01,5.274E-02
-1.7440E-01,-5.526E-02
-1.7440E-01,5.274E-02
-1.7438E-01,-5.526E-02
-1.7438E-01,5.274E-02
-1.7436E-01,-5.126E-02
-1.7436E-01,5.274E-02
-1.7434E-01,-5.526E-02
-1.7434E-01,5.274E-02
-1.7432E-01,-5.126E-02
-1.7432E-01,5.274E-02
-1.7430E-01,-5.126E-02
-1.7430E-01,5.274E-02
-1.7428E-01,-5.126E-02
-1.7428E-01,5.274E-02
-1.7426E-01,-5.126E-02
-1.7426E-01,5.274E-02
-1.7424E-01,-5.126E-02
-1.7424E-01,5.274E-02
-1.7422E-01,-5.126E-02
-1.7422E-01,5.674E-02
-1.7420E-01,-5.526E-02
-1.7420E-01,5.274E-02
-1.7418E-01,-5.526E-02
-1.7418E-01,5.274E-02
-1.7416E-01,-5.126E-02
-1.7416E-01,5.274E-02
-1.7414E-01,-5.526E-02
-1.7414E-01,5.274E-02
-1.7412E-01,-5.126E-02
-1.7412E-01,5.274E-02
-1.7410E-01,-5.526E-02
-1.7410E-01,5.274E-02
-1.7408E-01,-5.126E-02
-1.7408E-01,5.274E-02
-1.7406E-01,-5.126E-02
-1.7406E-01,5.274E-02
-1.7404E-01,-5.526E-02
-1.7404E-01,5.274E-02
-1.7402E-01,-5.526E-02
-1.7402E-01,5.274E-02
-1.7400E-01,-5.126E-02
-1.7400E-01,5.274E-02
-1.7398E-01,-5.126E-02
-1.7398E-01,5.274E-02
-1.7396E-01,-5.126E-02
-1.7396E-01,5.274E-02
-1.7394E-01,-5.526E-02
-1.7394E-01,5.274E-02
-1.7392E-01,-5.526E-02
-1.7392E-01,5.274E-02
-1.7390E-01,-5.126E-02
-1.7390E-01,5.274E-02
-1.7388E-01,-5.526E-02
-1.7388E-01,5.274E-02
-1.7386E-01,-5.126E-02
-1.7386E-01,5.274E-02
-1.7384E-01,-5.526E-02
-1.7384E-01,5.274E-02
-1.7382E-01,-5.526E-02
-1.7382E-01,5.274E-02
-1.7380E-01,-5.126E-02
-1.7380E-01,5.274E-02
-1.7378E-01,-5.126E-02
-1.7378E-01,5.274E-02
-1.7376E-01,-5.526E-02
-1.7376E-01,5.274E-02
-1.7374E-01,-5.126E-02
-1.7374E-01,5.274E-02
-1.7372E-01,-5.126E-02
-1.7372E-01,5.274E-02
-1.7370E-01,-5.126E-02
-1.7370E-01,5.274E-02
-1.7368E-01,-5.126E-02
-1.7368E-01,5.274E-02
-1.7366E-01,-5.126E-02
-1.7366E-01,4.874E-02
-1.7364E-01,-5.126E-02
-1.7364E-01,5.274E-02
-1.7362E-01,-5.526E-02
-1.7362E-01,5.274E-02
-1.7360E-01,-5.126E-02
-1.7360E-01,5.274E-02
-1.7358E-01,-5.126E-02
-1.7358E-01,5.274E-02
-1.7356E-01,-5.526E-02
-1.7356E-01,5.274E-02
-1.7354E-01,-5.526E-02
-1.7354E-01,5.274E-02
-1.7352E-01,-5.526E-02
-1.7352E-01,5.274E-02
-1.7350E-01,-5.126E-02
-1.7350E-01,5.274E-02
-1.7348E-01,-5.126E-02
-1.7348E-01,5.274E-02
-1.7346E-01,-5.126E-02
-1.7346E-01,5.274E-02
-1.7344E-01,-5.526E-02
-1.7344E-01,5.274E-02
-1.7342E-01,-5.526E-02
-1.7342E-01,5.274E-02
-1.7340E-01,-5.126E-02
-1.7340E-01,5.274E-02
-1.7338E-01,-5.526E-02
-1.7338E-01,5.274E-02
-1.7336E-01,-5.526E-02
-1.7336E-01,5.274E-02
-1.7334E-01,-5.526E-02
-1.7334E-01,5.274E-02
-1.7332E-01,-5.126E-02
-1.7332E-01,5.274E-02
-1.7330E-01,-5.526E-02
-1.7330E-01,5.274E-02
-1.7328E-01,-5.126E-02
-1.7328E-01,5.274E-02
-1.7326E-01,-5.526E-02
-1.7326E-01,5.274E-02
-1.7324E-01,-5.126E-02
-1.7324E-01,5.274E-02
-1.7322E-01,-5.526E-02
-1.7322E-01,5.274E-02
-1.7320E-01,-5.526E-02
-1.7320E-01,5.674E-02
-1.7318E-01,-5.126E-02
-1.7318E-01,5.274E-02
-1.7316E-01,-5.126E-02
-1.7316E-01,5.274E-02
-1.7314E-01,-5.126E-02
-1.7314E-01,5.274E-02
-1.7312E-01,-5.526E-02
-1.7312E-01,5.274E-02
-1.7310E-01,-5.526E-02
-1.7310E-01,5.274E-02
-1.7308E-01,-5.526E-02
-1.7308E-01,5.274E-02
-1.7306E-01,-5.126E-02
-1.7306E-01,5.674E-02
-1.7304E-01,-5.126E-02
-1.7304E-01,5.274E-02
-1.7302E-01,-5.526E-02
-1.7302E-01,5.274E-02
-1.7300E-01,-5.126E-02
-1.7300E-01,5.274E-02
-1.7298E-01,-5.526E-02
-1.7298E-01,5.274E-02
-1.7296E-01,-5.126E-02
-1.7296E-01,5.274E-02
-1.7294E-01,-5.526E-02
-1.7294E-01,5.274E-02
-1.7292E-01,-5.126E-02
-1.7292E-01,5.274E-02
-1.7290E-01,-5.526E-02
-1.7290E-01,5.274E-02
-1.7288E-01,-5.526E-02
-1.7288E-01,5.274E-02
-1.7286E-01,-5.126E-02
-1.7286E-01,5.274E-02
-1.7284E-01,-5.526E-02
-1.7284E-01,5.274E-02
-1.7282E-01,-5.526E-02
-1.7282E-01,5.274E-02
-1.7280E-01,-5.126E-02
-1.7280E-01,5.274E-02
-1.7278E-01,-5.126E-02
-1.7278E-01,5.274E-02
-1.7276E-01,-5.526E-02
-1.7276E-01,5.274E-02
-1.7274E-01,-5.526E-02
-1.7274E-01,5.274E-02
-1.7272E-01,-5.126E-02
-1.7272E-01,5.274E-02
-1.7270E-01,-5.526E-02
-1.7270E-01,5.674E-02
-1.7268E-01,-5.126E-02
-1.7268E-01,5.274E-02
-1.7266E-01,-5.126E-02
-1.7266E-01,5.274E-02
-1.7264E-01,-5.526E-02
-1.7264E-01,5.274E-02
-1.7262E-01,-5.526E-02
-1.7262E-01,5.274E-02
-1.7260E-01,-5.126E-02
-1.7260E-01,5.274E-02
-1.7258E-01,-5.126E-02
-1.7258E-01,5.274E-02
-1.7256E-01,-5.126E-02
-1.7256E-01,5.274E-02
-1.7254E-01,-5.126E-02
-1.7254E-01,5.274E-02
-1.7252E-01,-5.126E-02
-1.7252E-01,5.274E-02
-1.7250E-01,-5.526E-02
-1.7250E-01,5.274E-02
-1.7248E-01,-5.126E-02
-1.7248E-01,5.274E-02
-1.7246E-01,-5.126E-02
-1.7246E-01,5.274E-02
-1.7244E-01,-5.126E-02
-1.7244E-01,5.274E-02
-1.7242E-01,-5.526E-02
-1.7242E-01,5.274E-02
-1.7240E-01,-5.526E-02
-1.7240E-01,5.274E-02
-1.7238E-01,-5.126E-02
-1.7238E-01,5.274E-02
-1.7236E-01,-5.526E-02
-1.7236E-01,5.274E-02
-1.7234E-01,-5.526E-02
-1.7234E-01,5.274E-02
