[s],CH1[V]
-1.03640E-05,-4.716E-01
-1.03630E-05,-4.916E-01
-1.03620E-05,-4.916E-01
-1.03610E-05,-5.116E-01
-1.03600E-05,-4.916E-01
-1.03590E-05,-4.916E-01
-1.03580E-05,-4.916E-01
-1.03570E-05,-4.916E-01
-1.03560E-05,-4.916E-01
-1.03550E-05,-4.916E-01
-1.03540E-05,-4.916E-01
-1.03530E-05,-4.916E-01
-1.03520E-05,-4.716E-01
-1.03510E-05,-4.916E-01
-1.03500E-05,-4.916E-01
-1.03490E-05,-5.116E-01
-1.03480E-05,-4.916E-01
-1.03470E-05,-4.916E-01
-1.03460E-05,-4.916E-01
-1.03450E-05,-4.916E-01
-1.03440E-05,-4.916E-01
-1.03430E-05,-4.916E-01
-1.03420E-05,-4.916E-01
-1.03410E-05,-4.916E-01
-1.03400E-05,-4.916E-01
-1.03390E-05,-4.916E-01
-1.03380E-05,-4.716E-01
-1.03370E-05,-4.916E-01
-1.03360E-05,-4.916E-01
-1.03350E-05,-4.916E-01
-1.03340E-05,-4.916E-01
-1.03330E-05,-4.716E-01
-1.03320E-05,-4.916E-01
-1.03310E-05,-4.916E-01
-1.03300E-05,-5.116E-01
-1.03290E-05,-4.916E-01
-1.03280E-05,-4.916E-01
-1.03270E-05,-4.916E-01
-1.03260E-05,-4.916E-01
-1.03250E-05,-4.916E-01
-1.03240E-05,-5.116E-01
-1.03230E-05,-4.916E-01
-1.03220E-05,-4.916E-01
-1.03210E-05,-4.916E-01
-1.03200E-05,-4.716E-01
-1.03190E-05,-4.916E-01
-1.03180E-05,-4.916E-01
-1.03170E-05,-4.916E-01
-1.03160E-05,-5.116E-01
-1.03150E-05,-4.716E-01
-1.03140E-05,-4.916E-01
-1.03130E-05,-4.916E-01
-1.03120E-05,-4.916E-01
-1.03110E-05,-5.116E-01
-1.03100E-05,-5.116E-01
-1.03090E-05,-4.916E-01
-1.03080E-05,-4.916E-01
-1.03070E-05,-4.916E-01
-1.03060E-05,-4.916E-01
-1.03050E-05,-5.116E-01
-1.03040E-05,-4.916E-01
-1.03030E-05,-4.916E-01
-1.03020E-05,-4.916E-01
